order_id,order_date,region,product_category,product_subcategory,quantity,unit_price,discount,shipping_cost,customer_age_group,payment_method,revenue,profit,returned,high_profit
ORD00127,2022-10-07,East,Food & Beverage,Canned Goods,2,21.03,0.01,2.34,46-55,PayPal,41.64,9.54,0,0
ORD00128,2022-01-29,East,Office Supplies,Binders,7,54.51,0.06,7.58,18-25,Cash,358.68,71.29,0,1
ORD00129,2023-08-12,West,Furniture,Cabinets,3,402.07,0.07,1.49,56+,Gift Card,1121.78,124.28,0,1
ORD00130,2024-06-03,West,Office Supplies,Paper,4,189.16,0.04,6.1,46-55,Cash,726.37,95.15,0,1
ORD00131,2023-10-17,South,Clothing,Pants,1,39.1,0.01,2.72,36-45,Cash,38.71,7.58,0,0
ORD00132,2024-07-12,East,Office Supplies,Art Supplies,5,71.65,0.08,5.7,56+,Credit Card,329.59,65.12,0,1
ORD00133,2023-10-08,South,Electronics,Laptops,6,630.38,0.11,12.92,46-55,PayPal,3366.23,353.04,1,1
ORD00134,2024-03-17,South,Clothing,Accessories,1,131.59,0.15,13.42,46-55,Credit Card,111.85,27.96,0,0
ORD00135,2022-01-24,North,Office Supplies,Binders,9,110.62,0.19,3.87,46-55,Debit Card,806.42,68.42,0,1
ORD00136,2024-10-14,East,Food & Beverage,Prepared Meals,2,14.34,0.01,13.71,46-55,Gift Card,28.39,2.26,0,0
ORD00137,2022-10-11,East,Clothing,Shoes,1,66.73,0.15,10.8,36-45,PayPal,56.72,4.35,0,0
ORD00138,2022-09-30,East,Office Supplies,Art Supplies,6,147.78,0.08,9.5,26-35,Credit Card,815.75,141.59,0,1
ORD00139,2024-05-16,South,Office Supplies,Paper,5,79.71,0.16,0.7,56+,Debit Card,334.78,30.66,0,0
ORD00140,2022-03-27,South,Furniture,Cabinets,4,469.46,0.02,12.56,36-45,Gift Card,1840.28,293.15,1,1
ORD00141,2024-01-17,East,Electronics,Laptops,8,474.8,0.14,9.96,36-45,Debit Card,3266.62,928.4,0,1
ORD00142,2022-08-11,East,Furniture,Sofas,4,337.71,0.05,12.62,18-25,Gift Card,1283.3,335.71,1,1
ORD00143,2022-06-09,South,Office Supplies,Paper,9,155.33,0.03,1.13,18-25,Gift Card,1356.03,314.66,0,1
ORD00144,2023-12-13,East,Furniture,Cabinets,9,170.45,0.25,11.99,18-25,Credit Card,1150.54,257.35,0,1
ORD00145,2023-09-03,East,Clothing,Accessories,3,54.04,0.24,14.43,46-55,Cash,123.21,30.5,0,0
ORD00146,2023-06-24,South,Electronics,Accessories,8,618.79,0.19,11.39,46-55,Credit Card,4009.76,926.36,0,1
ORD00147,2024-10-10,North,Clothing,Accessories,2,78.52,0.07,14.82,18-25,Gift Card,146.05,41.77,0,0
ORD00148,2023-12-31,North,Furniture,Tables,7,599.63,0.17,7.1,56+,Cash,3483.85,446.68,0,1
ORD00149,2024-01-26,North,Furniture,Chairs,3,556.91,0.29,14.16,56+,PayPal,1186.22,199.94,0,1
ORD00150,2024-05-23,South,Food & Beverage,Canned Goods,2,26.6,0.19,9.75,46-55,PayPal,43.09,6.08,0,0
ORD00151,2023-05-13,East,Food & Beverage,Canned Goods,3,35.12,0.1,10.87,36-45,Gift Card,94.82,6.29,0,0
ORD00152,2023-07-12,North,Food & Beverage,Snacks,6,16.62,0.19,13.29,26-35,Debit Card,80.77,16.47,0,0
ORD00153,2022-01-26,East,Electronics,Laptops,2,65.95,0.26,7.93,26-35,Debit Card,97.61,27.79,0,0
ORD00154,2024-10-28,North,Furniture,Chairs,4,60.03,0.03,0.56,46-55,PayPal,232.92,39.58,0,0
ORD00155,2022-10-08,West,Office Supplies,Paper,9,154.81,0.13,6.32,26-35,Cash,1212.16,284.13,0,1
ORD00156,2022-04-25,East,Clothing,Shirts,8,50.21,0.09,3.5,26-35,Cash,365.53,22.12,0,0
ORD00157,2024-10-18,South,Clothing,Shirts,9,25.33,0.12,1.87,56+,Debit Card,200.61,58.0,0,1
ORD00158,2022-09-25,South,Office Supplies,Binders,6,196.55,0.27,9.01,18-25,Credit Card,860.89,237.55,1,1
ORD00159,2024-02-08,South,Office Supplies,Art Supplies,4,50.18,0.28,9.74,46-55,Credit Card,144.52,29.18,0,0
ORD00160,2022-08-27,West,Office Supplies,Storage,2,79.9,0.01,14.36,36-45,Gift Card,158.2,40.59,0,0
ORD00161,2023-10-14,West,Clothing,Shirts,7,133.73,0.28,14.92,56+,Credit Card,674.0,63.0,0,1
ORD00162,2024-02-24,West,Office Supplies,Art Supplies,1,35.01,0.24,3.37,18-25,Credit Card,26.61,2.82,0,0
ORD00163,2023-09-06,South,Food & Beverage,Snacks,5,5.48,0.26,3.98,36-45,Gift Card,20.28,1.67,0,0
ORD00164,2024-09-15,North,Furniture,Cabinets,9,217.56,0.28,11.03,56+,PayPal,1409.79,169.66,0,1
ORD00165,2022-01-06,East,Furniture,Cabinets,5,57.81,0.16,14.43,46-55,Credit Card,242.8,18.78,0,0
ORD00166,2024-10-22,West,Office Supplies,Storage,2,101.55,0.14,8.89,36-45,Cash,174.67,44.74,0,0
ORD00167,2023-12-03,North,Furniture,Sofas,1,530.82,0.24,9.88,46-55,PayPal,403.42,105.96,0,1
ORD00168,2024-01-03,East,Clothing,Shirts,9,140.21,0.03,10.48,46-55,Credit Card,1224.03,119.11,0,1
ORD00169,2024-09-21,East,Office Supplies,Art Supplies,9,10.7,0.25,1.93,18-25,PayPal,72.22,9.66,0,0
ORD00170,2022-06-16,North,Food & Beverage,Canned Goods,4,28.25,0.23,3.88,46-55,Credit Card,87.01,8.55,0,0
ORD00171,2022-12-04,South,Food & Beverage,Prepared Meals,9,31.96,0.08,9.51,56+,PayPal,264.63,48.96,0,0
ORD00172,2022-04-21,West,Electronics,Laptops,7,455.95,0.29,5.13,36-45,Gift Card,2266.07,471.7,1,1
ORD00173,2022-04-16,South,Office Supplies,Storage,4,38.88,0.23,14.21,46-55,Credit Card,119.75,10.97,0,0
ORD00174,2024-01-03,North,Food & Beverage,Beverages,6,17.95,0.19,0.69,26-35,Cash,87.24,23.37,1,0
ORD00175,2024-09-28,North,Food & Beverage,Canned Goods,4,32.73,0.18,5.75,18-25,Debit Card,107.35,7.13,0,0
ORD00176,2023-01-20,North,Clothing,Shirts,3,45.35,0.0,2.38,26-35,PayPal,136.05,22.74,1,0
ORD00177,2022-04-16,East,Food & Beverage,Prepared Meals,9,9.02,0.24,10.41,46-55,PayPal,61.7,6.49,0,0
ORD00178,2023-12-05,West,Furniture,Cabinets,6,104.86,0.26,14.45,56+,Debit Card,465.58,26.92,0,0
ORD00179,2024-07-29,West,Furniture,Tables,5,393.96,0.12,4.11,18-25,Cash,1733.42,513.08,0,1
ORD00180,2024-07-13,West,Office Supplies,Art Supplies,2,46.56,0.01,9.78,18-25,Cash,92.19,13.1,0,0
ORD00181,2023-05-05,East,Food & Beverage,Canned Goods,8,8.8,0.06,1.37,26-35,PayPal,66.18,5.85,0,0
ORD00182,2023-07-03,West,Office Supplies,Art Supplies,7,127.11,0.04,0.49,56+,Gift Card,854.18,239.35,0,1
ORD00183,2024-04-03,West,Clothing,Shoes,9,10.17,0.18,9.11,26-35,Debit Card,75.05,8.4,0,0
ORD00184,2022-08-22,West,Furniture,Cabinets,6,361.72,0.08,11.96,18-25,Cash,1996.69,254.76,0,1
ORD00185,2022-01-13,West,Clothing,Accessories,2,105.26,0.12,14.62,26-35,PayPal,185.26,42.7,0,0
ORD00186,2024-02-22,North,Furniture,Sofas,6,547.46,0.22,11.24,18-25,PayPal,2562.11,221.57,0,1
ORD00187,2023-08-14,North,Food & Beverage,Canned Goods,6,31.29,0.21,8.39,18-25,Debit Card,148.31,7.78,0,0
ORD00188,2023-06-20,West,Furniture,Chairs,1,533.04,0.02,12.37,46-55,Cash,522.38,72.85,0,1
ORD00189,2024-10-07,East,Food & Beverage,Canned Goods,2,41.25,0.01,10.06,18-25,Cash,81.67,23.51,0,0
ORD00190,2024-07-15,West,Office Supplies,Storage,9,187.56,0.02,8.12,56+,Credit Card,1654.28,375.96,0,1
ORD00191,2024-01-09,North,Furniture,Sofas,4,223.49,0.24,1.2,26-35,Credit Card,679.41,185.96,0,1
ORD00192,2024-04-25,West,Electronics,Phones,3,80.57,0.05,6.58,46-55,Debit Card,229.62,53.09,0,0
ORD00193,2023-11-04,East,Electronics,Phones,9,703.84,0.07,14.64,36-45,Credit Card,5891.14,790.73,0,1
ORD00194,2024-03-27,East,Office Supplies,Art Supplies,7,13.51,0.05,0.31,46-55,Debit Card,89.84,19.16,0,0
ORD00195,2023-07-15,South,Food & Beverage,Canned Goods,3,4.99,0.12,3.31,56+,Debit Card,13.17,2.04,0,0
ORD00196,2024-05-19,South,Furniture,Chairs,1,524.92,0.22,11.14,56+,PayPal,409.44,64.03,0,1
ORD00197,2023-01-19,South,Clothing,Pants,4,80.68,0.16,7.71,26-35,PayPal,271.08,53.41,0,0
ORD00198,2023-02-13,East,Clothing,Shoes,4,132.28,0.27,6.33,18-25,PayPal,386.26,46.04,0,0
ORD00199,2024-08-01,East,Food & Beverage,Beverages,3,31.53,0.19,11.0,18-25,PayPal,76.62,6.35,0,0
ORD00200,2024-07-28,East,Food & Beverage,Prepared Meals,7,31.99,0.11,7.69,46-55,Cash,199.3,30.54,0,0
ORD00201,2023-03-29,West,Office Supplies,Binders,6,174.8,0.13,7.72,46-55,PayPal,912.46,127.57,0,1
ORD00202,2022-06-19,North,Furniture,Cabinets,9,582.57,0.08,9.85,56+,Cash,4823.68,633.34,0,1
ORD00203,2022-05-16,East,Office Supplies,Paper,7,93.49,0.07,1.1,46-55,Cash,608.62,56.26,0,1
ORD00204,2022-12-15,North,Food & Beverage,Snacks,9,22.11,0.07,9.26,56+,PayPal,185.06,41.95,0,0
ORD00205,2022-06-23,East,Furniture,Sofas,9,375.16,0.11,8.0,26-35,Debit Card,3005.03,737.58,0,1
ORD00206,2023-04-07,East,Furniture,Chairs,6,147.33,0.03,4.05,18-25,Cash,857.46,55.11,0,1
ORD00207,2024-08-26,West,Electronics,Accessories,1,141.58,0.14,14.01,26-35,Credit Card,121.76,15.71,0,0
ORD00208,2022-02-12,East,Office Supplies,Storage,4,197.39,0.29,0.07,26-35,Debit Card,560.59,161.42,0,1
ORD00209,2024-06-16,South,Food & Beverage,Prepared Meals,8,26.26,0.15,10.0,56+,Gift Card,178.57,15.16,0,0
ORD00210,2022-11-15,East,Furniture,Sofas,2,145.06,0.2,14.55,46-55,Cash,232.1,17.05,0,0
ORD00211,2023-04-04,East,Electronics,Tablets,5,772.51,0.08,9.92,18-25,Debit Card,3553.55,1047.08,0,1
ORD00212,2022-01-19,South,Clothing,Shoes,2,96.5,0.26,8.56,18-25,PayPal,142.82,8.23,1,0
ORD00213,2023-12-14,North,Office Supplies,Paper,1,122.12,0.28,12.4,46-55,Cash,87.93,19.06,0,0
ORD00214,2022-12-27,East,Food & Beverage,Canned Goods,2,49.97,0.01,14.66,36-45,Credit Card,98.94,15.01,0,0
ORD00215,2024-03-19,South,Clothing,Shirts,9,25.28,0.2,11.48,56+,Gift Card,182.02,51.22,0,0
ORD00216,2024-07-21,East,Food & Beverage,Beverages,9,16.54,0.26,5.64,18-25,PayPal,110.16,13.68,0,0
ORD00217,2022-12-06,East,Clothing,Shirts,1,61.3,0.12,10.43,26-35,Credit Card,53.94,7.94,0,0
ORD00218,2022-09-03,North,Office Supplies,Storage,1,91.66,0.0,8.81,18-25,Credit Card,91.66,8.44,0,0
ORD00219,2024-02-25,South,Food & Beverage,Beverages,9,19.61,0.26,7.79,46-55,PayPal,130.6,22.18,0,0
ORD00220,2022-12-19,East,Food & Beverage,Canned Goods,5,20.54,0.17,8.0,56+,Debit Card,85.24,17.22,0,0
ORD00221,2024-04-20,West,Electronics,Tablets,2,586.62,0.16,12.34,56+,PayPal,985.52,155.43,0,1
ORD00222,2022-03-15,East,Electronics,Accessories,9,541.02,0.11,2.96,26-35,PayPal,4333.57,735.82,0,1
ORD00223,2022-06-21,West,Furniture,Sofas,4,176.36,0.09,4.61,18-25,Cash,641.95,160.97,0,1
ORD00224,2022-11-18,East,Electronics,Tablets,4,588.23,0.12,14.65,36-45,Debit Card,2070.57,529.64,0,1
